sa2_2016,ra_2016
125041493,Major Cities of Australia
125041494,Major Cities of Australia
126011495,Major Cities of Australia
126011496,Major Cities of Australia
126021497,Major Cities of Australia
126021498,Major Cities of Australia
126021499,Major Cities of Australia
126021500,Major Cities of Australia
126021501,Major Cities of Australia
126021503,Major Cities of Australia
127011504,Major Cities of Australia
127011505,Major Cities of Australia
127011505,Inner Regional Australia
127011506,Major Cities of Australia
127021509,Major Cities of Australia
127021510,Major Cities of Australia
127021511,Major Cities of Australia
127021512,Major Cities of Australia
127021513,Major Cities of Australia
127021514,Major Cities of Australia
127021515,Major Cities of Australia
127021516,Major Cities of Australia
127021517,Major Cities of Australia
127021518,Major Cities of Australia
127021519,Major Cities of Australia
127021520,Major Cities of Australia
127021521,Major Cities of Australia
127031522,Major Cities of Australia
127031523,Major Cities of Australia
127031524,Major Cities of Australia
128011529,Major Cities of Australia
128011530,Major Cities of Australia
128011531,Major Cities of Australia
128021533,Major Cities of Australia
128021533,Inner Regional Australia
128021534,Major Cities of Australia
128021535,Major Cities of Australia
128021536,Major Cities of Australia
128021537,Inner Regional Australia
128021538,Major Cities of Australia
101051539,Inner Regional Australia
101051540,Inner Regional Australia
101051540,Outer Regional Australia
101061541,Inner Regional Australia
101061542,Inner Regional Australia
101061542,Outer Regional Australia
101061542,Major Cities of Australia
101061543,Inner Regional Australia
101061544,Outer Regional Australia
101061544,Inner Regional Australia
107011545,Major Cities of Australia
107011546,Major Cities of Australia
107011547,Major Cities of Australia
107041548,Major Cities of Australia
107041549,Major Cities of Australia
112031550,Major Cities of Australia
112031551,Major Cities of Australia
112031552,Major Cities of Australia
115011553,Major Cities of Australia
115011554,Major Cities of Australia
115011555,Major Cities of Australia
115011556,Major Cities of Australia
115011557,Major Cities of Australia
115011558,Major Cities of Australia
115011559,Major Cities of Australia
116011560,Major Cities of Australia
116011561,Major Cities of Australia
116021562,Major Cities of Australia
116021563,Major Cities of Australia
118021564,Major Cities of Australia
118021565,Major Cities of Australia
118021566,Major Cities of Australia
118021567,Major Cities of Australia
118021568,Major Cities of Australia
118021569,Major Cities of Australia
118021570,Major Cities of Australia
119011571,Major Cities of Australia
119011572,Major Cities of Australia
